latitude,longitude
2.353159,-91.996765
2.232406,-91.620483
1.23312,-90.42572
0.942035,-89.648438
0.878872,-89.541321
0.758035,-89.425964
-0.409237,-88.648682
-0.653672,-88.571777
-0.999705,-88.634949
-1.757537,-89.055176
-1.911267,-89.184265
-2.0293,-89.360046
-2.086941,-89.618225
-2.026555,-90.579529
-1.548884,-91.873169
-1.395126,-92.021484
-1.224882,-92.117615
-0.549308,-92.304382
1.625758,-92.675171
2.004596,-92.598267
2.303761,-92.263184
